"코드.번호","CODE","회사명","업종.대.","업종.소.","코스피코스닥","국내여부"
"A000040",40,"KR모터스","자동차 및 관련부품","완성차","코스피",1
"A100840",100840,"S&TC","기계","플랜트설비","코스피",1
"A099440",99440,"스맥","기계","공작기계","코스닥",1
"A012320",12320,"경동인베스트","유틸리티","도시가스","코스피",1
"A016600",16600,"큐캐피탈","금융","기타 금융","코스닥",1
"A057540",57540,"옴니시스템","유틸리티","스마트그리드","코스닥",1
"A057880",57880,"토필드","가정용품","셋톱박스","코스닥",1
"A900340",900340,"윙입푸드","식음료","식료품","코스닥",0
"A204630",204630,"화이브라더스코리아","미디어 및 엔터","매니지먼트","코스닥",1
"A036260",36260,"이매진아시아","미디어 및 엔터","매니지먼트","코스닥",1
"A016740",16740,"두올","자동차 및 관련부품","차량 시트","코스피",1
"A041650",41650,"상신브레이크","자동차 및 관련부품","제동장치","코스피",1
"A133820",133820,"화인베스틸","조선","조선기자재","코스피",1
"A005010",5010,"휴스틸","철강 및 비철강","강관","코스피",1
"A000850",850,"화천기공","기계","공작기계","코스피",1
